"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"XPL","Solitario Zinc Corp.","0.3701","21538475.0566","n/a","United States","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","19.5626","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","20.25","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","20.75","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","22.46","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","20.2716","51606952.7616","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","13.5","175337595","n/a","United States","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/lov",
"SRCI","SRC Energy Inc.","5.71","1389769319.25","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/srci",
"SSY","SunLink Health Systems, Inc.","1.5788","11030846.674","n/a","United States","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ssy",
"SYN","Synthetic Biologics, Inc","0.593","9182255.723","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/syn",
"TALO.WS","Talos Energy, Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/talo.ws",
"TRX","Tanzanian Gold Corporation","0.76","104890453.04","n/a","Canada","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.5999","147549735.6781","n/a","Canada","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tgb",
"TGC","Tengasco, Inc.","1.009","10740050.268","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","18","96647868","n/a","United States","2004","n/a","n/a","https://www.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","46.03","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glu^a",
"GLU^B","The Gabelli Global Utility and Income Trust","52.4","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glu^b",
"TDW.WS","Tidewater Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tdw.ws",
"TMP","Tompkins Financial Corporation","78.83","1207207034.48","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/tmp",
"TRXC","TransEnterix, Inc.","1.29","279982470.75","n/a","United States","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/trxc",
"TMQ","Trilogy Metals Inc.","2.49","328828100.22","n/a","Canada","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tmq",
"TRT","Trio-Tech International","3.0717","11282523.0435","n/a","United States","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/trt",
